item_id,model,temperature,predicted_risk,intervened,baseline_halluc_rate,intervened_halluc_rate,baseline_any_halluc,intervened_any_halluc
bio_1,small-model-A,0.2,0.42022375953941826,False,0.2,0.2,1,1
bio_1,small-model-A,0.2,0.5662091470098147,True,0.15,0.0,1,0
bio_1,small-model-A,0.2,0.42022375953941826,False,0.0,0.0,0,0
bio_1,small-model-A,0.2,0.42022375953941826,False,0.0,0.0,0,0
bio_1,small-model-A,0.2,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-A,0.2,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-A,0.2,0.42022375953941826,False,0.2,0.2,1,1
bio_1,small-model-A,0.2,0.42022375953941826,False,0.4,0.4,1,1
bio_1,small-model-A,0.2,0.5179203804377038,True,0.2,0.3,1,1
bio_1,small-model-A,0.2,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.0,0.0,0,0
bio_1,small-model-A,0.7,0.42022375953941826,False,0.0,0.0,0,0
bio_1,small-model-A,0.7,0.42022375953941826,False,0.6,0.6,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.2,0.2,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.55,0.55,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-A,0.7,0.42022375953941826,False,0.3,0.3,1,1
bio_1,small-model-A,0.7,0.562534860552346,True,0.4,0.2,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.25,0.25,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.2,0.2,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.0,0.0,0,0
bio_1,small-model-A,1.0,0.5400558472993009,True,0.55,0.25,1,1
bio_1,small-model-A,1.0,0.5442702121186176,True,0.35,0.15,1,1
bio_1,small-model-A,1.0,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.0,0.0,0,0
bio_1,small-model-B,0.2,0.42022375953941826,False,0.1,0.1,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.2,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-B,0.7,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.7,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.7,0.42022375953941826,False,0.05,0.05,1,1
bio_1,small-model-B,0.7,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-B,0.7,0.42022375953941826,False,0.15,0.15,1,1
bio_1,small-model-B,0.7,0.42022375953941826,False,0.2,0.2,1,1
bio_1,small-model-B,0.7,0.5405608843255958,True,0.05,0.15,1,1
